X_global,Y_global,Z_global
4223.608,0.0,7.547
4195.25142907308,0.0,278.0511195588279
4195.808110720855,86.63881420762813,272.7407215070245
4197.70238411386,180.52957400289412,254.67052685270497
4203.717694352675,262.5873564258736,197.28819369905028
4213.633424057623,294.4501619708641,102.69827517423835
4223.608,294.15,7.5470000000000175
4233.57240787742,294.1500000000001,-87.50727813373635
4245.591609864059,290.2226894475733,-202.16301911082635
4255.707631546491,223.69407599524206,-298.66359901861284
4258.640585948667,109.17963286624439,-326.6421670306441
4258.640585948667,4.1150625669022825e-14,-326.64216703064415
4258.640585948667,-109.17963286624428,-326.64216703064403
4255.707631546491,-223.6940759952421,-298.6635990186128
4245.591609864059,-290.2226894475732,-202.16301911082638
4233.57240787742,-294.1500000000001,-87.50727813373635
4223.608,-294.15,7.5469999999999455
4213.633424057623,-294.4501619708641,102.69827517423828
4203.717694352675,-262.5873564258736,197.28819369905023
4197.70238411386,-180.52957400289418,254.67052685270497
4195.808110720855,-86.6388142076282,272.7407215070245
