X_global,Y_global,Z_global
4375.87,0.0,17.209
4375.87,0.0,336.0552878358968
4375.87,101.44609857691444,329.4279875008275
4375.87,207.09563052037794,302.25168165682635
4375.87,277.7979696852813,219.04103916990084
4375.87,289.5112229000256,111.27689860069356
4375.87,294.6529522580374,17.209000000000017
4375.87,299.61211373956576,-80.14087698395872
4375.87,289.5808025003229,-193.18376831040567
4375.87,215.15848061536215,-278.9312427550318
4375.87,103.5845764320394,-301.5915455901593
4375.87,3.923813805366938e-14,-303.1947121640991
4375.87,-103.58457643204885,-301.5915455901887
4375.87,-215.1584806153648,-278.9312427550354
4375.87,-289.5808025003258,-193.18376831040786
4375.87,-299.61211373956553,-80.14087698395866
4375.87,-294.65295225803726,17.208999999999946
4375.87,-289.5112229000265,111.27689860069378
4375.87,-277.7979696852859,219.04103916990414
4375.87,-207.09563052038084,302.2516816568302
4375.87,-101.44609857691438,329.4279875008271
