X_global,Y_global,Z_global
1300.874,0.0,-802.406
1270.985464527,0.0,-654.3986843959999
1270.9854645269997,49.06124953271232,-654.3986843959998
1270.9854645269997,109.70428901622464,-654.3986843959997
1273.0045284235562,193.78743961869196,-664.3970407099852
1283.921787089343,263.577473545138,-718.4590455324461
1300.874,290.22500000002105,-802.406
1317.826212910683,263.57747354554033,-886.352954467682
1328.7434715765442,193.78743961938895,-940.4149592905111
1330.7625354730003,109.70428901622452,-950.413315604
1330.762535473,49.06124953271228,-950.413315604
1330.762535473,1.8491554343734726e-14,-950.413315604
1330.762535473,-49.061249532712246,-950.413315604
1330.7625354730003,-109.70428901622454,-950.413315604
1328.7434715765442,-193.78743961938895,-940.4149592905112
1317.826212910683,-263.57747354554033,-886.352954467682
1300.874,-290.22500000002105,-802.406
1283.921787089343,-263.577473545138,-718.4590455324461
1273.0045284235562,-193.78743961869196,-664.3970407099852
1270.9854645269997,-109.70428901622469,-654.3986843959997
1270.9854645269997,-49.06124953271237,-654.3986843959998
