X_global,Y_global,Z_global
167.629,0.0,-554.016
337.093648633136,0.0,-420.55238337099996
334.36250697274147,68.9588621498414,-422.70332190869755
315.191514514629,136.46719066467344,-437.8016330223387
278.25202890080817,193.80977085216827,-466.8937025849309
226.965636724862,232.45454986945953,-507.2848250925701
167.629,246.1099999999665,-554.016
108.29236327513372,232.45454986947607,-600.7471749074332
57.00597109917703,193.80977085219416,-641.1382974150806
20.06648548552883,136.46719066452752,-670.230366977537
0.8954930275025106,68.95886214974054,-685.3286780911103
-1.8356486331359747,2.6416856104420304e-14,-687.4796166289999
0.8954930275024537,-68.95886214974048,-685.3286780911103
20.06648548552883,-136.46719066452758,-670.230366977537
57.005971099177,-193.80977085219413,-641.1382974150806
108.29236327513372,-232.45454986947607,-600.7471749074332
167.62899999999996,-246.1099999999665,-554.016
226.96563672486195,-232.45454986945947,-507.28482509257014
278.2520289008081,-193.80977085216827,-466.8937025849309
315.1915145146289,-136.46719066467347,-437.8016330223387
334.36250697274147,-68.95886214984147,-422.70332190869755
